CodigoAnillador,NombreAnillador,Anilla,NumeroAnilla,NombreEspecie,CodigoEspecie,FechaCaptura,FechaCaptura,CodigoEdad,CodigoSexo,CodigoModo,NombreLocalidad,MUNICIPIO,CodigoLocalidad,CodigoPROVINCIA,Observaciones,CodigoHabitat,CodigoMetodo,NumRedes,LongitudRed,HoraDesde,HoraHasta,Campanna,CodigoEstacion,MannanaCodigoFuerza,MannanaCodigoDireccion,MannanaCodigoNubosidad,MannanaCodigoLluvia,TardeCodigoFuerza,TardeCodigoDireccion,TardeCodigoNubosidad,TardeCodigoLluvia,Dato1,Dato2,Dato3,Dato4,Dato5,Dato6,Parentesco,TipoRegistro,CodigoCentro,CodigoCondicion,CodigoCircunstancia,CodigoReclamo,Ala,F8,Peso,Tarso,CodigoPlaca,CodigoGrasa,CodigoMusculo,CodigoPrecision,CodigoEstado,CodigoEstatus,CodigoMuda,IniAnillador
660019,Manuel Vazquez Castro,BF..2396,BF..2396,Amandava amandava,20250,11-03-05,11-Mar-05,4,0,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,10:00,11:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,BF..2397,BF..2397,Amandava amandava,20250,11-03-05,11-Mar-05,5,0,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,10:00,11:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,BF..2398,BF..2398,Amandava amandava,20250,11-03-05,11-Mar-05,5,0,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,10:00,11:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,BF..2399,BF..2399,Amandava amandava,20250,11-03-05,11-Mar-05,5,0,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,10:00,11:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,BF..2400,BF..2400,Estrilda astrild,16150,11-03-05,11-Mar-05,4,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,10:00,11:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CJ..1546,CJ..1546,Estrilda astrild,16150,15-03-05,15-Mar-05,5,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CJ..1547,CJ..1547,Estrilda astrild,16150,15-03-05,15-Mar-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4372,CY..4372,Serinus serinus,16400,10-01-05,10-Jan-05,5,1,,El Alamillo,Sevilla,ES66309,,,E5,A,,,15:00,16:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4373,CY..4373,Carduelis spinus,16540,10-01-05,10-Jan-05,6,2,,El Alamillo,Sevilla,ES66309,,,E5,A,,,15:00,16:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4374,CY..4374,Carduelis spinus,16540,10-01-05,10-Jan-05,5,1,,El Alamillo,Sevilla,ES66309,,,E5,A,,,15:00,16:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4375,CY..4375,Carduelis spinus,16540,10-01-05,10-Jan-05,5,1,,El Alamillo,Sevilla,ES66309,,,E5,A,,,15:00,16:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4376,CY..4376,Carduelis spinus,16540,10-01-05,10-Jan-05,5,1,,El Alamillo,Sevilla,ES66309,,,E5,A,,,16:00,17:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4377,CY..4377,Phylloscopus collybita,13110,10-01-05,10-Jan-05,5,0,,El Alamillo,Sevilla,ES66309,,,E5,A,,,17:00,18:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4378,CY..4378,Serinus serinus,16400,03-02-05,03-Feb-05,5,2,,El Hampa,Coria del Rio,ES66264,,,D3,M,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4379,CY..4379,Estrilda astrild,16150,04-02-05,04-Feb-05,4,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4380,CY..4380,Estrilda astrild,16150,04-02-05,04-Feb-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4381,CY..4381,Estrilda astrild,16150,04-02-05,04-Feb-05,4,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4382,CY..4382,Estrilda astrild,16150,04-02-05,04-Feb-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4383,CY..4383,Estrilda astrild,16150,04-02-05,04-Feb-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4384,CY..4384,Estrilda astrild,16150,04-02-05,04-Feb-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4385,CY..4385,Estrilda astrild,16150,04-02-05,04-Feb-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4386,CY..4386,Estrilda astrild,16150,04-02-05,04-Feb-05,5,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4387,CY..4387,Estrilda astrild,16150,04-02-05,04-Feb-05,4,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4388,CY..4388,Estrilda astrild,16150,04-02-05,04-Feb-05,4,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4389,CY..4389,Estrilda astrild,16150,04-02-05,04-Feb-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4390,CY..4390,Estrilda astrild,16150,04-02-05,04-Feb-05,5,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4391,CY..4391,Estrilda astrild,16150,04-02-05,04-Feb-05,4,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4392,CY..4392,Estrilda astrild,16150,04-02-05,04-Feb-05,2,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4393,CY..4393,Estrilda astrild,16150,04-02-05,04-Feb-05,4,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4394,CY..4394,Estrilda astrild,16150,04-02-05,04-Feb-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4395,CY..4395,Estrilda astrild,16150,04-02-05,04-Feb-05,5,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4396,CY..4396,Estrilda astrild,16150,04-02-05,04-Feb-05,4,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4397,CY..4397,Estrilda astrild,16150,04-02-05,04-Feb-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4398,CY..4398,Estrilda astrild,16150,04-02-05,04-Feb-05,4,1,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
660019,Manuel Vazquez Castro,CY..4399,CY..4399,Estrilda astrild,16150,04-02-05,04-Feb-05,4,2,,Rio Guadaira,Coria del Rio,ES66851,,,C5,M,,,8:00,9:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,
